2986043,Pic de Font Blanca,Pic de Font Blanca,"Pic de Font Blanca,Pic du Port",42.64991,1.53335,T,PK,AD,,0,,,,0,,2860,Europe/Andorra,05-11-14
2994701,Roc Mélé,Roc Mele,"Roc Mele,Roc Meler,Roc Mélé",42.58765,1.74028,T,MT,AD,"AD,FR",0,,,,0,,2803,Europe/Andorra,05-11-14
3007683,Pic des Langounelles,Pic des Langounelles,Pic des Langounelles,42.61203,1.47364,T,PK,AD,"AD,FR",0,,,,0,,2685,Europe/Andorra,05-11-14
3017832,Pic de les Abelletes,Pic de les Abelletes,"Pic de la Font-Negre,Pic de la Font-Nègre,Pic de les Abelletes",42.52535,1.73343,T,PK,AD,FR,A9,66,663,66146,0,,2411,Europe/Andorra,05-11-14
3017833,Estany de les Abelletes,Estany de les Abelletes,"Estany de les Abelletes,Etang de Font-Negre,Étang de Font-Nègre",42.52915,1.73362,H,LK,AD,FR,A9,,,,0,,2260,Europe/Andorra,05-11-14
3023203,Port Vieux de la Coume d’Ose,Port Vieux de la Coume d'Ose,"Port Vieux de Coume d'Ose,Port Vieux de Coume d’Ose,Port Vieux de la Coume d'Ose,Port Vieux de la Coume d’Ose",42.62568,1.61823,T,PASS,AD,,0,,,,0,,2687,Europe/Andorra,05-11-14
3029315,Port de la Cabanette,Port de la Cabanette,"Port de la Cabanette,Porteille de la Cabanette",42.6,1.73333,T,PASS,AD,"AD,FR",B3,9,91,9139,0,,2379,Europe/Andorra,05-11-14
3034945,Port Dret,Port Dret,"Port Dret,Port de Bareites,Port de las Bareytes,Port des Bareytes",42.60172,1.45562,T,PASS,AD,,0,,,,0,,2660,Europe/Andorra,05-11-14
3038814,Costa de Xurius,Costa de Xurius,,42.50692,1.47569,T,SLP,AD,,7,,,,0,,1839,Europe/Andorra,08-03-15
3038815,Font de la Xona,Font de la Xona,,42.55003,1.44986,H,SPNG,AD,,4,,,,0,,1976,Europe/Andorra,11-01-10
3038816,Xixerella,Xixerella,,42.55327,1.48736,P,PPL,AD,,4,,,,0,,1417,Europe/Andorra,24-04-09
3038818,Riu Xic,Riu Xic,,42.57165,1.67554,H,STM,AD,,2,,,,0,,1851,Europe/Andorra,03-12-14
3038819,Pas del Xic,Pas del Xic,,42.49766,1.57597,R,TRL,AD,,8,,,,0,,1669,Europe/Andorra,06-05-15
3038820,Roc del Xeig,Roc del Xeig,,42.56068,1.4898,T,RK,AD,,4,,,,0,,1643,Europe/Andorra,06-05-15
3038821,Collada del Xeig,Collada del Xeig,,42.57512,1.49009,T,PK,AD,,4,,,,0,,1857,Europe/Andorra,05-11-14
3038822,Fonts Vives,Fonts Vives,,42.49829,1.56428,H,SPNG,AD,,8,,,,0,,1540,Europe/Andorra,06-05-15
3038823,Roc de Vista,Roc de Vista,,42.49922,1.48118,T,RK,AD,,7,,,,0,,1564,Europe/Andorra,08-03-15
3038824,Obaga de Vista,Obaga de Vista,,42.47935,1.44621,T,SLP,AD,,6,,,,0,,1749,Europe/Andorra,08-03-15
3038825,Coll de Vista,Coll de Vista,,42.47611,1.60578,T,GAP,AD,,6,,,,0,,2335,Europe/Andorra,08-04-15
3038826,Coll de Vista,Coll de Vista,Coll de Vista,42.47552,1.44173,T,PASS,AD,"AD,ES",0,,,,0,,1967,Europe/Andorra,05-11-14
3038827,Visanseny,Visanseny,"Visanceny,Visanseny",42.57488,1.61616,L,LCTY,AD,,2,,,,0,,1706,Europe/Andorra,03-12-14
3038828,Roc de la Vinya,Roc de la Vinya,,42.52776,1.56446,T,RK,AD,,3,,,,0,,1260,Europe/Andorra,06-02-15
3038829,Canal de la Vinya,Canal de la Vinya,,42.52232,1.52319,H,STM,AD,,4,,,,0,,1183,Europe/Andorra,06-05-15
3038830,Bosc de Villar,Bosc de Villar,,42.60135,1.5434,V,FRST,AD,,5,,,,0,,1860,Europe/Andorra,03-12-14
3038831,Torrent de Vila,Torrent de Vila,,42.53414,1.56678,H,STM,AD,,3,,,,0,,1337,Europe/Andorra,06-02-15
3038832,Vila,Vila,"Casas Vila,Vila",42.53176,1.56654,P,PPL,AD,,3,,,,0,,1318,Europe/Andorra,13-04-12
